증권종류,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
코스닥,  소마젠 ,USA150,"그외 기타 전문, 과학 및 기술 서비스업","유전체 분석 서비스 (NGS, CES 등)",2020-07-13,12월,홍수,http://psomagen.com,미국
코스닥,  신도기연 ,290520,특수 목적용 기계 제조업,"OLED용 후공정장비(라미네이터, 오토클레이브 등)",2020-07-06,12월,박웅기,http://www.lcd.co.kr,경기도
코스닥,  위더스제약 ,330350,의약품 제조업,의약품 제조 및 도소매(순환기용제 등),2020-07-03,12월,성대영,http://withuspharm.com,서울특별시
"유가증권, KOSPI200, KRX300",  에스케이바이오팜   ,326030,자연과학 및 공학 연구개발업,신경질환 및 정신질환을 포함한 중추신경 관련 신약 개발,2020-07-02,12월,이동훈,,경기도
코스닥,  엠브레인 ,169330,시장조사 및 여론조사업,온라인 및 오프라인 리서치,2020-07-01,06월,최인수,http://embrain.com/,서울특별시
코스닥,  젠큐릭스 ,229000,의료용품 및 기타 의약 관련제품 제조업,유방암 예후진단 및 폐암/대장암 동반진단 제품/검사서비스,2020-06-25,12월,조상래,http://www.gencurix.com,서울특별시
코넥스,  무진메디 ,322970,자연과학 및 공학 연구개발업,"NANO-MEDICINE 전문회사,LNP(지질나노입자)를 이용한 원료 소재 및 개량/신약 개발",2020-06-24,12월,윤태종,http://www.moogene.com/,경기도
코스닥,  HB솔루션 ,297890,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)",2020-06-22,12월,이재원,http://www.hb-solution.co.kr,충청남도
코스닥,  에스에이티이엔지 ,351320,특수 목적용 기계 제조업,기업인수목적회사,2020-06-22,12월,소진석..,해당없음,경기도
코스닥,  에스씨엠생명과학 ,298060,의약품 제조업,세포치료제,2020-06-17,12월,-,http://www.scmlifescience.com,인천광역시
코스닥,  휴럼 ,353190,기타 식품 제조업,금융지원 서비스,2020-06-17,12월,김진석,,서울특별시
코스닥,  이지바이오 ,353810,동물용 사료 및 조제식품 제조업,"자돈사료, 사료첨가제",2020-06-05,12월,황일환..,http://www.easybio.co.kr/,서울특별시
코스닥,  드림씨아이에스 ,223250,자연과학 및 공학 연구개발업,시판후조사대행(rPMS),2020-05-22,12월,유정희,http://www.dreamcis.com,서울특별시
"유가증권, KRX300",  대덕전자  ,353200,전자부품 제조업,"PCB(Printed Circuit Board, 인쇄회로기판)의 제조 및 판매",2020-05-21,12월,신영환,http://www.daeduck.com,경기도
코넥스,  HLB사이언스 ,343090,의료용품 및 기타 의약 관련제품 제조업,"패혈증 치료제, 면역항암제 전달기술 등",2020-04-24,12월,윤종선,http://www.hlbscience.com,서울특별시
코스닥,  엔피디 ,198080,전자부품 제조업,스마트폰 OLED용 FPCA,2020-03-16,12월,강명구,http://www.newportdisplay.co.kr,경기도
코스닥,  플레이디 ,237820,광고업,온라인 광고 대행,2020-03-12,12월,이준용,http://www.playd.com,경기도
코스닥,  서울바이오시스 ,092190,반도체 제조업,"Visible LED, UV LED",2020-03-06,12월,이정훈..,http://www.seoulviosys.com/kr/,경기도
"코스닥, KOSDAQ150, KRX300",  제이앤티씨   ,204270,전자부품 제조업,"강화유리, 커넥터",2020-03-04,12월,조남혁..,,경기도
코스닥,  켄코아에어로스페이스 ,274090,"항공기,우주선 및 부품 제조업",항공가공품 및 조립품,2020-03-03,12월,케네스..,http://www.kencoa.com,경상남도
